StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
4115.0,Derek Parks,Female,78.0,20.0,78.0,2.0,Medium,81.79387714390481,2.9,,True
2070.0,Jeffrey Torres,Male,90.0,10.0,82.0,3.0,High,78.5796294050834,3.6,67.0,True
8014.0,Vickie Holloway,Male,95.0,15.0,77.0,2.0,Medium,79.48228234899148,1.0,56.0,True
6489.0,Susan Morris,Female,85.0,12.0,70.0,1.0,High,78.90593583647713,2.3,62.0,True
1659.0,Paula Stewart,Male,90.0,30.0,82.0,1.0,Medium,81.88340484692894,2.4,100.0,True
9877.0,Crystal Chandler,Male,91.0,12.0,90.0,1.0,Low,79.29542801226253,0.6,84.0,True
5386.0,James Reynolds,Male,92.0,22.0,88.0,3.0,Low,80.09849470255428,2.0,91.0,False
,Valerie Gibson,Female,91.0,8.0,86.0,2.0,High,78.6310564392382,4.8,60.0,True
3688.0,Patricia Williams,Female,95.0,25.0,65.0,0.0,Low,79.87265939886385,4.3,55.0,True
3759.0,Kyle Perez,Male,85.0,18.0,65.0,1.0,Medium,80.11413146613748,1.1,52.0,True
9383.0,Lindsey Kerr,Male,70.0,12.0,60.0,1.0,High,80.36095203803687,2.8,92.0,True
7782.0,Mark Miller,Male,78.0,15.0,65.0,3.0,Low,81.21579053458807,4.7,94.0,True
6416.0,Raymond Murillo,Male,85.0,15.0,85.0,2.0,Low,83.22730952559769,2.5,200.0,True
1844.0,Ronnie Taylor,Female,70.0,22.0,86.0,1.0,High,81.12693202674484,4.0,87.0,True
8304.0,Kaylee Benjamin,Female,88.0,30.0,90.0,2.0,High,79.39673011680254,2.8,55.0,False
8999.0,Melissa Nguyen,Male,95.0,15.0,86.0,1.0,Medium,79.18988381590827,1.8,50.0,False
8424.0,Mallory Fletcher,Female,92.0,22.0,86.0,2.0,Low,79.87733768951104,1.8,68.0,True
7568.0,Marissa Stewart,Male,85.0,18.0,82.0,1.0,High,79.18185268676505,2.3,73.0,True
1273.0,Kimberly Randolph,Male,85.0,18.0,90.0,1.0,High,79.4688338305504,2.5,90.0,False
4804.0,Nathan Wall,Male,85.0,30.0,85.0,1.0,High,80.11063384023787,4.2,80.0,False
3470.0,Alex White,Male,92.0,30.0,60.0,3.0,Medium,81.7034986973965,1.6,95.0,True
1891.0,Robert Bishop,Female,,,85.0,3.0,Low,80.8049549704964,3.8,90.0,False
9220.0,Penny Hopkins,Female,70.0,12.0,86.0,1.0,High,80.46707936886588,2.8,95.0,False
3735.0,Shawn Galloway,Female,78.0,18.0,85.0,1.0,Medium,80.65032706061666,1.4,54.0,False
3592.0,Monica Johnson,Female,90.0,25.0,60.0,1.0,Low,80.32974856031137,1.7,79.0,False
9460.0,Lawrence Miller,Female,95.0,30.0,77.0,1.0,Low,80.28491953311416,2.5,,False
9615.0,Anita Dougherty,Female,91.0,17.0,77.0,1.0,Low,79.75768439465135,3.7,68.0,False
2956.0,Jason Horne DDS,Male,78.0,15.0,65.0,1.0,Medium,81.55213065527607,,96.0,False
8912.0,Michelle Woods,Male,91.0,10.0,65.0,2.0,Medium,79.97487143750438,3.0,70.0,False
3535.0,Tracy Gibbs,Female,92.0,20.0,88.0,2.0,Medium,81.36641446259529,3.8,86.0,True
3745.0,Amanda Bryant,Female,70.0,22.0,86.0,0.0,High,79.8548840033641,0.8,64.0,False
5753.0,Daniel Sullivan,Male,78.0,17.0,85.0,2.0,Low,81.12995734127237,4.4,93.0,True
3025.0,Eduardo Miller,Female,90.0,12.0,65.0,1.0,Medium,80.04354118367574,2.8,52.0,True
4264.0,Brenda Bell,Male,70.0,18.0,70.0,1.0,High,80.06325900144788,4.2,69.0,False
4677.0,Robert Harper,Male,85.0,12.0,86.0,3.0,High,79.30810989760501,1.0,94.0,True
7834.0,Michael Bailey,Male,85.0,25.0,78.0,2.0,Medium,80.92234837504363,5.0,54.0,False
8842.0,Michael Woods,Female,78.0,18.0,88.0,3.0,Low,80.76278814137933,2.5,75.0,True
4594.0,Jonathon Woodward,Female,88.0,25.0,78.0,1.0,Low,80.57592191378201,0.3,88.0,True
9976.0,Jason Ramirez,Female,78.0,17.0,77.0,2.0,High,80.19198386020018,3.8,83.0,False
6653.0,Daniel Solomon,Male,88.0,20.0,78.0,,Medium,80.9781946463163,2.4,80.0,True
3981.0,Mrs. Melanie Mueller,Male,85.0,22.0,90.0,0.0,High,80.18737021001697,3.7,98.0,True
3561.0,Kevin Wilson,Male,78.0,8.0,70.0,2.0,Low,80.31989089114732,1.5,100.0,False
5777.0,Melissa Wilson,Female,91.0,25.0,77.0,1.0,Low,81.36659903915522,5.0,99.0,True
4450.0,Sarah Russell,,70.0,20.0,85.0,2.0,Medium,80.51574593484878,0.3,99.0,False
7782.0,Steven Hill,Female,78.0,25.0,60.0,0.0,Low,81.28397640766059,,81.0,True
1893.0,Kurt Boyd,Female,85.0,8.0,85.0,2.0,Low,79.27602853007772,2.4,56.0,True
4137.0,Tamara Jones,,91.0,18.0,90.0,3.0,Medium,78.92794116920965,0.2,81.0,True
1.0,John,Male,85.0,15.0,78.0,1.0,High,78.84833958311525,4.8,59.0,False
3972.0,Robert Davis,Male,91.0,8.0,85.0,0.0,Low,79.01396155048383,0.5,83.0,True
9307.0,Connie Cooper,Female,85.0,22.0,70.0,1.0,Medium,81.23243805772356,3.3,70.0,False
2234.0,Bradley Martinez,Male,88.0,18.0,78.0,2.0,Low,80.49178649413781,4.0,89.0,True
3713.0,Ronnie White,Male,90.0,12.0,82.0,3.0,High,78.85693322895625,0.8,88.0,True
5929.0,Christina Fitzgerald,Male,92.0,18.0,90.0,0.0,Medium,81.13526130643938,4.4,99.0,False
8451.0,Nathan Navarro,Male,95.0,18.0,88.0,2.0,Medium,79.71132620476199,4.1,50.0,False
8311.0,Michael Smith,Male,91.0,18.0,77.0,3.0,High,79.37035349302373,4.3,78.0,True
7637.0,Kristy Nichols,Male,85.0,12.0,82.0,2.0,Low,79.25329180236002,3.3,59.0,False
9747.0,Angela Perez,Female,95.0,30.0,70.0,1.0,Medium,81.36588554858933,3.8,77.0,False
4974.0,Shelly Hurley,Male,70.0,25.0,70.0,1.0,Medium,82.3581516217658,2.3,91.0,False
2549.0,Mary Bennett,Male,70.0,17.0,60.0,2.0,Low,80.08683284502557,0.5,54.0,True
5128.0,Nicholas Robinson DDS,Male,95.0,20.0,86.0,0.0,Medium,81.01498441408556,4.8,94.0,False
1324.0,Anne Martin,Female,90.0,30.0,86.0,,Low,81.04706387683008,3.2,84.0,True
6669.0,Ryan Williams,Female,90.0,18.0,90.0,,,77.34360301406983,3.1,89.0,
3719.0,Benjamin White,Male,92.0,25.0,78.0,3.0,Medium,81.19137724985616,,84.0,True
9577.0,Cheyenne Oliver,Male,78.0,,88.0,0.0,,78.09353542868287,4.8,77.0,False
9248.0,Jeffrey Garcia,Male,,15.0,86.0,,Medium,81.50600568926235,3.7,98.0,True
7729.0,Tammy Tanner,Male,,15.0,65.0,2.0,,77.11530276554862,2.0,69.0,False
1116.0,Todd Orozco,Male,70.0,20.0,,3.0,Low,80.4906855438485,0.9,62.0,True
4043.0,Christine Cooper,Female,90.0,22.0,82.0,3.0,Low,79.44857265145004,0.4,59.0,False
9576.0,Stephanie Lawrence,Female,90.0,12.0,70.0,2.0,Low,79.59427132753471,0.1,80.0,True
8439.0,Sean Hernandez,Female,91.0,15.0,88.0,1.0,Low,79.97591729503972,4.8,70.0,True
7627.0,Madeline Rush,Male,88.0,20.0,78.0,2.0,Medium,81.60143696355689,3.6,97.0,True
4.0,Michael,Male,92.0,25.0,90.0,3.0,High,79.76290732631222,2.9,96.0,False
9850.0,Christopher Baxter,Female,78.0,,78.0,0.0,High,79.6862495116943,3.9,65.0,False
5840.0,Patrick Reed,Female,90.0,20.0,65.0,1.0,Medium,80.53788395853547,2.3,63.0,False
6766.0,Tristan Avila,Male,88.0,17.0,77.0,,High,78.7831300552512,4.2,54.0,True
4497.0,Amy Stout,Female,91.0,,86.0,0.0,High,79.4935701941321,3.9,80.0,True
1745.0,Justin Sharp,Male,88.0,12.0,86.0,0.0,Medium,79.97547493478258,3.4,58.0,True
8454.0,Timothy Austin,Female,91.0,18.0,88.0,0.0,High,79.04485953695152,0.4,88.0,False
7751.0,Kelly Suarez,Male,90.0,15.0,60.0,0.0,Medium,80.20163258507444,2.2,73.0,False
5107.0,Jonathon Perry,,92.0,22.0,77.0,1.0,Medium,79.07448325145329,3.4,65.0,True
8025.0,Juan Lopez,Female,,17.0,70.0,1.0,High,78.63135626216678,0.7,50.0,True
